account_id,customer_id,account_type,balance,txn_id,txn_date,txn_type,txn_amount,txn_channel
403010,301,Loan,703.65,2,2023-08-18,Debit,3.46,Mobile
403010,301,Loan,703.65,1,2024-08-14,Debit,64.75,Branch
403011,301,Loan,-1062.88,3,2024-01-26,Debit,,Online
403011,301,Loan,-1062.88,4,2024-03-30,Debit,-305.4,Online
403011,301,Loan,-1062.88,5,2024-04-27,Debit,-74.33,Branch
403020,302,Savings,-1192.79,6,2024-08-12,Crediit,,ATM
403030,303,Savings,-1302.39,9,2024-04-19,Debit,101.97,
403030,303,Savings,-1302.39,8,2024-04-20,Credit,-44.02,Online
403030,303,Savings,-1302.39,7,2024-08-05,,0.0,ATM
403030,303,Savings,-1302.39,10,2024-09-23,Credit,-32.87,ATM
403031,303,Savings,1428.72,11,2024-05-08,,79.84,ATM
403040,304,Current,1060.08,13,2024-03-09,Credit,-36.88,Branch
403040,304,Current,1060.08,12,2024-03-16,Debit,116.2,Branch
403040,304,Current,1060.08,16,2024-04-18,Debit,-35.41,Branch
403040,304,Current,1060.08,14,2024-04-19,Crediit,-60.41,ATM
403040,304,Current,1060.08,15,2024-11-15,Credit,141.09,Branch
403041,304,Current,1245.71,17,2024-02-03,Debit,-15.0,Online
403042,304,Savings,661.06,20,2024-01-10,Debit,999999.99,ATM
403042,304,Savings,661.06,18,2024-02-18,Debit,23.92,App
403042,304,Savings,661.06,21,2024-05-05,Crediit,60.15,Online
403042,304,Savings,661.06,19,2024-07-29,Credit,150.78,ATM
403042,304,Savings,661.06,22,2024-08-30,Credit,0.0,Online
403050,305,Savings,2399.34,23,2024-05-10,Credit,-119.53,Online
403050,305,Savings,2399.34,25,2024-07-15,Debit,-56.61,Online
403050,305,Savings,2399.34,24,2025-12-25,Debit,118.42,Branch
403051,305,Savings,1892.83,29,2024-04-04,Credit,-231.61,ATM
403051,305,Savings,1892.83,28,2024-05-17,Debit,-52.13,ATM
403051,305,Savings,1892.83,26,2024-08-02,Debit,-94.78,ATM
403051,305,Savings,1892.83,30,2024-11-24,Debit,-4.89,ATM
403051,305,Savings,1892.83,27,2024-12-19,Debit,74.8,
403052,305,Current,-828.69,31,2024-02-21,Debit,61.72,ATM
403060,306,Savings,505.17,32,2024-03-24,Debit,,Online
403060,306,Savings,505.17,34,2024-10-26,Debit,-963.07,Online
403060,306,Savings,505.17,33,2025-12-29,Debit,16.24,Branch
403061,306,Current,1678.0,35,2024-05-18,Debit,0.0,Branch
403070,307,Loan,-473.9,38,2024-01-11,Crediit,91.08,Branch
403070,307,Loan,-473.9,37,2024-08-30,,0.0,Branch
403070,307,Loan,-473.9,40,2024-10-14,Debit,-65.65,Branch
403070,307,Loan,-473.9,36,2024-11-11,Credit,29.04,ATM
403070,307,Loan,-473.9,39,2025-04-05,Credit,-155.68,Branch
403071,307,Current,275.75,44,2024-02-21,Debit,161.07,Branch
403071,307,Current,275.75,43,2024-04-01,Credit,-99.31,App
403071,307,Current,275.75,42,2024-11-12,Crediit,,Online
403071,307,Current,275.75,41,2025-09-01,Debitt,441.53,ATM
403072,307,Savings,2090.76,47,2024-01-21,Credit,-141.09,Online
403072,307,Savings,2090.76,45,2024-02-05,Credit,193.69,Online
403072,307,Savings,2090.76,48,2024-09-10,Credit,-12.81,ATM
403072,307,Savings,2090.76,46,2024-10-24,Credit,204.73,ATM
403080,308,Loan,2145.67,49,2024-11-23,Credit,-120.23,Branch
403090,309,Current,585.02,52,2024-05-26,Credit,235.04,ATM
403090,309,Current,585.02,50,2024-11-10,Debit,,Online
403090,309,Current,585.02,51,2024-12-17,Credit,-38.5,Branch
403100,310,Savings,2545.06,55,2024-05-15,Credit,14.61,ATM
403100,310,Savings,2545.06,56,2024-06-28,Debitt,22.3,Branch
403100,310,Savings,2545.06,57,2024-09-21,Credit,-3.15,Branch
403100,310,Savings,2545.06,54,2024-10-29,Debit,-80.25,Branch
403100,310,Savings,2545.06,53,2024-12-03,,-139.66,ATM
403101,310,Loan,-596.01,59,2024-02-08,Credit,469.74,Branch
403101,310,Loan,-596.01,58,2024-10-06,Debit,-42.03,Branch
403101,310,Loan,-596.01,60,2024-10-13,Crediit,255.16,ATM
403110,311,Loan,623.73,61,2024-04-28,Credit,999999.99,ATM
403110,311,Loan,623.73,63,2024-08-04,Debit,74.81,Branch
403110,311,Loan,623.73,62,2024-09-07,Credit,-288.8,Online
403110,311,Loan,623.73,64,2024-12-05,Debit,0.38,ATM
403120,312,Loan,-284.93,65,2024-10-09,Debit,-117.07,Online
403121,312,Loan,3901.1,67,2024-01-05,Debit,-31.81,Branch
403121,312,Loan,3901.1,68,2024-06-12,Credit,38.01,Online
403121,312,Loan,3901.1,69,2024-06-16,Debit,10.24,Branch
403121,312,Loan,3901.1,66,2025-06-20,Credit,-283.04,Online
403130,313,Current,-1539.87,70,2024-08-12,Debit,11.86,ATM
403131,313,Savings,1030.52,71,2023-05-17,Credit,-260.35,Branch
403131,313,Savings,1030.52,72,2024-03-18,Debit,,Online
403140,314,Savings,3052.75,76,2023-06-18,Debitt,-168.25,App
403140,314,Savings,3052.75,74,2024-01-13,Debit,82.55,ATM
403140,314,Savings,3052.75,73,2024-04-15,Debit,284.78,Online
403140,314,Savings,3052.75,75,2024-08-16,Credit,-40.25,Branch
403141,314,Savings,-285.49,78,2024-04-14,Credit,999999.99,App
403141,314,Savings,-285.49,77,2024-09-16,Credit,-115.01,Branch
403141,314,Savings,-285.49,79,2024-09-30,Debit,433.68,App
403150,315,Loan,-482.17,80,2024-01-24,Debitt,-7.56,Online
403160,316,Current,-389.26,81,2024-01-02,Credit,74.87,Online
403160,316,Current,-389.26,85,2024-01-15,Debit,33.17,Online
403160,316,Current,-389.26,84,2024-07-28,Debit,-159.07,Branch
403160,316,Current,-389.26,83,2024-08-05,Credit,-149.89,
403160,316,Current,-389.26,82,2025-01-10,Debit,-10.19,Online
403170,317,Savings,1809.88,87,2023-02-05,,,Branch
403170,317,Savings,1809.88,88,2024-03-17,Credit,109.53,Branch
403170,317,Savings,1809.88,86,2024-05-15,Credit,-103.92,App
403180,318,Savings,71.54,90,2023-09-23,Debit,,ATM
403180,318,Savings,71.54,89,2025-11-18,,-60.93,Online
403181,318,Loan,-286.7,92,2024-04-16,Credit,170.12,Branch
403181,318,Loan,-286.7,91,2024-12-13,Debit,228.53,ATM
403182,318,Loan,1479.35,93,2024-05-07,Debit,-46.28,Branch
403182,318,Loan,1479.35,94,2024-10-17,Credit,208.78,Branch
403190,319,Current,4067.45,96,2024-05-30,Debit,7.3,Online
403190,319,Current,4067.45,97,2024-08-17,Debit,0.0,Online
403190,319,Current,4067.45,98,2024-10-24,Debit,284.53,ATM
403190,319,Current,4067.45,95,2024-11-13,Credit,,Branch
403190,319,Current,4067.45,99,2025-07-23,Credit,49.56,ATM
403191,319,Current,4109.52,102,2024-01-12,Debit,-473.39,
403191,319,Current,4109.52,104,2024-11-10,Debit,95.18,
403191,319,Current,4109.52,100,2024-12-03,Credit,75.0,ATM
403191,319,Current,4109.52,103,2024-12-16,Debit,-173.15,Branch
403191,319,Current,4109.52,101,2025-02-16,Credit,-39.79,ATM
